Icon-Name;Lok-Typ
A4üm;neutral
AB4üwe;neutral
ADüm;neutral
Akku Köf;elektro
Apümh 121;neutral
Avümh 111;neutral
B4üm;neutral
B4üwe;neutral
BD4üm;neutral
Köf;diesel
WR4ü-e;neutral
WRümh 131;neutral
BR 694 ÖBB;dampf
Geräuschwagen;neutral
1200;elektro
1828 Apeldoorn;elektro
701_Buehne;neutral
750 183-6;diesel
750 252-9;elektro
AB4nb;neutral
Adler;dampf
Ae 3-6;elektro
Ae 6-6;elektro
Ae 8-14;elektro
B4nb;neutral
BB 12000;elektro
BB 22200;elektro
BD4nf;neutral
BDnf;neutral
BR 01 133 DB;dampf
BR 01 150 DB AG;dampf
BR 01-10;dampf
BR 01-Replica;dampf
BR 01;dampf
BR 03-10;dampf
BR 03-266;dampf
BR 03;dampf
BR 05-Stromlinie;dampf
BR 05;dampf
BR 051;dampf
BR 064;dampf
BR 10;dampf
BR 101 025-5 STAR;elektro
BR 101;elektro
BR 103 128-5;elektro
BR 103-2;elektro
BR 103-3;elektro
BR 103;elektro
BR 110 487 6 DB-AG;elektro
BR 110;elektro
BR 110_3;elektro
BR 111;elektro
BR 118 gn;elektro
BR 120;elektro
BR 132;diesel
BR 140;elektro
BR 143;elektro
BR 144;elektro
BR 146 201-9;elektro
BR 146;elektro
BR 150_E 50;elektro
BR 150_EP5;elektro
BR 151 033-8;elektro
BR 151 SRI;elektro
BR 151-1;elektro
BR 151;elektro
BR 152.119-4;elektro
BR 152;elektro
BR 17;dampf
BR 17_S 10;dampf
BR 18-1;dampf
BR 18-3;dampf
BR 18-4;dampf
BR 18.3;dampf
BR 182;elektro
BR 185;elektro
BR 185_2;elektro
BR 186 103;elektro
BR 187 004-7;elektro
BR 187 109-4;elektro
BR 189 059-0 DB AG;elektro
BR 189;elektro
BR 212;diesel
BR 216;diesel
BR 217;diesel
BR 218 247 5 DB;diesel
BR 218 416-6;diesel
BR 218;diesel
BR 220;diesel
BR 221-1;diesel
BR 221-2;diesel
BR 23 006;dampf
BR 23;dampf
BR 230;diesel
BR 232;diesel
BR 24;dampf
BR 260;diesel
BR 261;diesel
BR 285 114-5;diesel
BR 290 083-5;diesel
BR 322;diesel
BR 332;diesel
BR 335;diesel
BR 34;dampf
BR 38 Wanne;dampf
BR 38;dampf
BR 39;dampf
BR 41;dampf
BR 42-90;dampf
BR 420;elektro
BR 43;dampf
BR 44;dampf
BR 45;dampf
BR 465 005 7 BLS;elektro
BR 484 016-1;elektro
BR 4906 NS;dampf
BR 491;elektro
BR 50;dampf
BR 52-Kondenstender;dampf
BR 52;dampf
BR 53.0;dampf
BR 53;dampf
BR 55;dampf
BR 56;dampf
BR 58 1836 DB;dampf
BR 58;dampf
BR 59;dampf
BR 61;dampf
BR 610;diesel
BR 628;diesel
BR 64;dampf
BR 648;diesel
BR 701;diesel
BR 74.10-DR;dampf
BR 74;dampf
BR 74_T 12;dampf
BR 75;dampf
BR 78 1001;dampf
BR 78-1;dampf
BR 78;dampf
BR 80;dampf
BR 81;dampf
BR 85;dampf
BR 86;dampf
BR 89-0;dampf
BR 89-70;dampf
BR 92;dampf
BR 94-5;dampf
BR 96;dampf
BR 96_Gt-2x4-4;dampf
BR 98-3;dampf
BR 98-8;dampf
BVI STEINACH;dampf
Big Boy;dampf
Blue Star Train;diesel
CC 41000;elektro
CE 6-8 bn;elektro
CFL Serie 5603;dampf
Ce 6-8;elektro
Ce 6-8II;elektro
D 220 011 ER;diesel
DB BR 03 1022;dampf
DE 1002 AKN;diesel
DE 520-12;diesel
DE 6-6 15301;elektro
DHG 500;diesel
DHG 700;diesel
DM 2;elektro
DM 3;elektro
Dampfspeicher;dampf
Dampfspeicherlok;dampf
De 6-6;dampf
E 03-1;elektro
E 03;elektro
E 04;elektro
E 10-3;elektro
E 10_12;elektro
E 152;elektro
E 18;elektro
E 19;elektro
E 41;elektro
E 44;elektro
E 50;elektro
E 52;elektro
E 60 gn;elektro
E 60 rt;elektro
E 69;elektro
E 70 08;elektro
E 70;elektro
E 75;elektro
E 91;elektro
E 93;elektro
E 94;elektro
EG 507;elektro
EL 10-gn;elektro
EL 10;elektro
EL 12;elektro
EP;elektro
ES 64 F4-213;elektro
ET 87;elektro
ET 91;elektro
Eb 3-5;dampf
Ee 3-3;elektro
F 7 KCS;diesel
F 7;diesel
GG 1;elektro
GL11;neutral
Glaskasten;dampf
Gottardo;diesel
ICE 1;elektro
ICE 2;elektro
ICE 3;elektro
KLV 53;diesel
KLVM;dampf
Kittel;dampf
Koploper;elektro
LINT BRB Doppel;diesel
LINT;diesel
Looney-Tunes BR 232;diesel
Mak;diesel
Mikado;dampf
NS 1200;elektro
Nohab;diesel
P8;dampf
Posttrieb;elektro
RA;diesel
RC3 1041 SJ;elektro
RC3 1058 SJ;elektro
RE 4-4 I 10036;elektro
RE 486 503-6 BLS;elektro
RH 1018-0;elektro
Rae;diesel
Ram TEE;diesel
Re 4-4 I;elektro
Re 4-4 II;elektro
Re 420 227;elektro
Re 460;elektro
Re 6-6;elektro
Reihe BVI;dampf
Reihe Da;elektro
Reihe El 12;elektro
Reihe K;dampf
Reihe Ue;elektro
Rh 1012;elektro
Rh 2016;elektro
Roter Pfeil;elektro
SVT 183;diesel
Sapsan;elektro
